Title,Ratings,Original_Price,Discounted_Price,Link
"DinshawsAtta Bread - Baked, Healthy, No Maida, Cholesterol Free4341 Ratings300 g",4,NA,₹40,https://bigbasket.in/pd/40246805/dinshaws-atta-bread-baked-healthy-no-maida-cholesterol-free-300-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=36&t_s=Atta%2520Bread%2520-%2520Baked%252C%2520Healthy%252C%2520No%2520Maida%252C%2520Cholesterol%2520Free
"NastaMilk Bread - Soft, Healthy, High In Protein, No Trans Fat4.168 Ratings450 g",4.1,NA,₹50,https://bigbasket.in/pd/40272985/nasta-milk-bread-soft-healthy-high-in-protein-no-trans-fat-450-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=37&t_s=Milk%2520Bread%2520-%2520Soft%252C%2520Healthy%252C%2520High%2520In%2520Protein%252C%2520No%2520Trans%2520Fat
Harvest Gold100% Whole Wheat Bread - Zero Maida3.9637 Ratings450 g,3.9,₹60,₹54,https://bigbasket.in/pd/40026519/harvest-gold-bread-100-whole-wheat-450-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=38&t_s=100%2525%2520Whole%2520Wheat%2520Bread%2520-%2520Zero%2520Maida
NILGIRISMilk Bread - Soft & Fluffy3.510 Ratings400 g,3.5,NA,NA,https://bigbasket.in/pd/40237434/nilgiris-milk-bread-soft-fluffy-400-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=39&t_s=Milk%2520Bread%2520-%2520Soft%2520%2526%2520Fluffy
fresho! SignatureGourmet Bread - Pull-A-Part Cheese3.1751 Ratings300 g,3.1,NA,₹129,https://bigbasket.in/pd/40037480/fresho-signature-pull-a-part-cheese-bread-300-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=1&t_s=Gourmet+Bread+-+Pull-A-Part+Cheese
"ReposeSlice Bread - Premium White, Wholesome, Fresh, No Preservatives423 Ratings200 g - Pouch",4,NA,₹18,https://bigbasket.in/pd/40251380/repose-slice-bread-premium-white-wholesome-fresh-no-preservatives-200-g-pouch/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=13&t_s=Slice+Bread+-+Premium+White%252C+Wholesome%252C+Fresh%252C+No+Preservatives
fresho! SignatureFocaccia Bread - Olives3.6305 Ratings200 g,3.6,NA,₹65,https://bigbasket.in/pd/40037486/fresho-signature-focaccia-bread-olives-200-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=2&t_s=Focaccia+Bread+-+Olives
BritanniaHigh Fibre Bread3.84 Ratings300 g,3.8,NA,₹35,https://bigbasket.in/pd/40223995/britannia-high-fibre-bread-300-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=3&t_s=High+Fibre+Bread
"BritanniaTreat Croissant - Mixed Fruit, soft, 100% Veg3.91725 Ratings4x47 g - Multipack",3.9,₹80,₹72.56,https://bigbasket.in/pd/1221474/britannia-treat-croissant-mixed-fruit-soft-100-veg-4x47-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=4&t_s=Treat+Croissant+-+Mixed+Fruit%252C+soft%252C+100%2525+Veg
Nanda'sMr. Bready Premium Sandwich Bread3.811 Ratings400 g,3.8,NA,₹50,https://bigbasket.in/pd/40302655/nandas-mr-bready-premium-sandwich-bread-400-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=5&t_s=Mr.+Bready+Premium+Sandwich+Bread
